Company URL,Company Name,News URL,Source
1 Source Design,http://1-sourcedesign.com/,https://sydenhamcurrent.ca/2024/10/24/1-source-design-recognizes-long-serving-employees-in-wallaceburg/,GPT-5.1
1 Source Design (One Source Group / MS-2 Partnership),http://1-sourcedesign.com/,https://cknewstoday.ca/chatham/news/2020/04/23/wallaceburg-company-shields-healthcare-workers,GPT-5.1
1 Source Design (One Source Group / MS-2 Partnership),http://www.hpmold.com,https://ckxsfm.com/wallaceburg-company-makes-and-donates-intubation-shields/,GPT-5.1
Harris Precision Mold,http://www.hpmold.com,https://www.moldmakingtechnology.com/articles/share-and-share-alike-sharing-software-streamlines-daily-mold-operations,GPT-5.1
Harris Precision Mold,http://www.hpmold.com,https://www.plasticstoday.com/injection-molding/florian-named-amba-s-top-moldmaker,GPT-5.1
Harris Precision Mold,http://www.hpmold.com,https://www.k-online.com/en/Media_News/News/K_Archive/SPE_appoints_new_officers_1,GPT-5.1
"Prestige Mold, Inc.",http://www.prestigemold.com,https://www.moldmakingtechnology.com/news/mr-mold-engineering-celebrates-40-years-of-moldmaking,GPT-5.1
"Prestige Mold, Inc.",http://www.prestigemold.com,https://www.ptonline.com/news/mr-mold-engineering-completes-move-to-larger-location,GPT-5.1
"Prestige Mold, Inc.",http://www.prestigemold.com,https://www.plasticstoday.com/injection-molding/m-r-mold-hits-25-year-mark,GPT-5.1
Source One,http://www.source-one.net,https://www.prnewswire.com/news-releases/freepoint-eco-systems-and-source-one-agree-to-enter-into-long-term-collaboration-to-develop-pretreatment-infrastructure-for-advanced-recycling-of-plastic-waste-302507477.html,GPT-5.1
Source One,http://www.source-one.net,https://www.recyclingtoday.com/news/freepoint-eco-systems-source-one-working-together-on-pretreatment-facilities-for-plastics-recycling/,GPT-5.1
Source One,http://www.source-one.net,https://www.ptonline.com/news/source-one-plastics-starts-up-plastic-waste-sorting-and-recycling-facility,GPT-5.1
Source One,http://www.source-one.net,https://www.so-plastics.com/news03.html,GPT-5.1
Source One,http://www.source-one.net,https://www.pressebox.com/pressrelease/source-one-plastics-gmbh/source-one-plastics-sorts-rigid-plastics-into-monofractions/boxid/1255454,GPT-5.1
Source One,http://www.source-one.net,https://www.euwid-recycling.com/news/business/source-one-now-sorting-rigid-waste-plastics-080725/,GPT-5.1
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/leveraging-3d-printed-injection-mold-inserts-benefits-and-applications/,GPT-5.1
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/elevating-injection-molding-quality-with-state-of-the-art-equipment/,GPT-5.1
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/innovative-plastic-injection-molding-trends-in-2024/,GPT-5.1
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/a-step-by-step-guide-to-the-plastic-manufacturing-process/,GPT-5.1
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/custom-molded-electronic-components-how-tailored-solutions-improve-device-performance/,GPT-5.1
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/overcoming-challenges-with-the-right-medical-plastics-manufacturer/,GPT-5.1
Westec Plastics,http://www.westecplastics.com,https://www.westecplastics.com/blogs-news/optimizing-high-volume-injection-molding-production-runs/,GPT-5.1
PTA Plastics,https://www.ptaplastics.com/,https://www.newhaven.edu/news/releases/2025/microboard-pta-plastics-engineering-scholarship.php,GPT-5.1
PTA Plastics,https://www.ptaplastics.com/,https://www.pcs-company.com/a-stronger-mold-pta-plastics-pcs-company-build-success-through-partnership,GPT-5.1
PTA Plastics,https://www.ptaplastics.com/,https://www.ptonline.com/news/pta-plastics-adds-six-injection-molding-machines,GPT-5.1
PTA Plastics,https://www.ptaplastics.com/,https://www.plasticstoday.com/plastics-processing/pta-plastics-makes-2-million-capital-investment-to-meet-medical-molding-demand,GPT-5.1
"Ivanhoe Tool & Die Company, Inc.",http://ivanhoetool.com/,https://www.moldmakingtechnology.com/articles/ivanhoe-tool-die-building-a-brand,GPT-5.1
"Wepco Plastics, Inc.",https://wepcoplastics.com/,https://wepcoplastics.com/resources/wepco-plastics-shows-how-a-small-but-mighty-company-can-engage-employees-in-community-giving-to-make-a-bigger-impact/,GPT-5.1
"Wepco Plastics, Inc.",https://wepcoplastics.com/,https://nationalfund.org/frontline-forward/wepco-plastics/,GPT-5.1
"Wepco Plastics, Inc.",https://wepcoplastics.com/,https://www.injection-molded-plastics.net/wepco-plastics-inc/,GPT-5.1
"Westminster Tool, Inc.",http://www.westminstertool.com,https://www.westminstertool.com/2025/09/24/westminster-tool-named-2025-inductee-into-the-american-manufacturing-hall-of-fame/,GPT-5.1
"Westminster Tool, Inc.",http://www.westminstertool.com,https://www.ctinsider.com/business/article/mfg-hall-fame-trumpf-ward-leonard-westminster-tool-21032854.php,GPT-5.1
"Westminster Tool, Inc.",http://www.westminstertool.com,https://hartfordbusiness.com/article/10m-westminster-tool-builds-growth-strategy-on-culture-training-and-diversification/,GPT-5.1
"Westminster Tool, Inc.",http://www.westminstertool.com,https://www.moldmakingtechnology.com/news/westminster-tool-partners-with-sumitomo-shi-demag-to-add-mold-qualification-capacity,GPT-5.1
"Westminster Tool, Inc.",http://www.westminstertool.com,https://www.sumitomo-shi-demag.us/2021/12/07/westminster-tool/,GPT-5.1
"Ameritech Die & Mold, Inc.",https://www.amdiemold.com/,https://www.ptonline.com/articles/ameritech-die-mold-life-in-the-fast-lane,GPT-5.1
"Ameritech Die & Mold, Inc.",https://www.amdiemold.com/,https://www.plasticstoday.com/industry-trends/industry-watch-19997,GPT-5.1
Carson Tool & Mold,http://www.carsonmold.com,https://www.moldmakingtechnology.com/articles/new-era-same-winning-formula,GPT-5.1
Carson Tool & Mold,http://www.carsonmold.com,https://www.ptonline.com/articles/diversity-is-key-to-more-than-six-decades-of-moldmaking-success,GPT-5.1
MSI Mold Builders,http://www.msimoldbuilders.com,https://www.upstatebusinessjournal.com/business-news/msi-mold-builders-expand-operations-in-greenville-county-2/,GPT-5.1
MSI Mold Builders,http://www.msimoldbuilders.com,https://www.pvpallet.com/news/msi-mold-builders-showcases-pvpallet-series-x-at-north-americas-largest-plastics-show-npe,GPT-5.1
MSI Mold Builders,http://www.msimoldbuilders.com,https://www.msimoldbuilders.com/insights/how-plastic-injection-mold-makers-are-supporting-modern-industries,GPT-5.1
MSI Mold Builders,http://www.msimoldbuilders.com,https://www.kcrg.com/content/news/Made-in-Eastern-Iowa-MSI-Mold-Builders-and-big-competition-451075783.html,GPT-5.1
MSI Mold Builders,http://www.msimoldbuilders.com,https://www.moldmakingtechnology.com/articles/2016-leadtime-leader-awards-honorable-mention-msi-mold-builders---optimizing-lead-times,GPT-5.1
"Summit Mold, Inc",http://www.summitmold.com,https://www.moldmakingtechnology.com/articles/summit-mold-better-not-bigger,GPT-5.1
A1 Tool Corporation,http://www.a1toolcorp.com,https://www.moldmakingtechnology.com/news/a1-tool-corp-launches-newly-customized-website,GPT-5.1
A1 Tool Corporation,http://www.a1toolcorp.com,https://www.a1toolcorp.com/appliance-manufacturer-case-study,GPT-5.1
Alchemy Precision,http://www.alchemyprecision.com,https://alchemyprecision.com/die-sinking-edm/,GPT-5.1
"Armin Tool and Manufacturing Company, Inc.",http://www.armin-ind.com,https://armin-ind.com/about-armin-tool/,GPT-5.1
"Armin Tool and Manufacturing Company, Inc.",http://www.armin-ind.com,https://armin-ind.com/plastic-injection-molds/,GPT-5.1
"Armin Tool and Manufacturing Company, Inc.",http://www.armin-ind.com,https://www.moldmakingtechnology.com/news/spe-mold-making-mold-design-division-honors-arthur-stoll-with-2010-mold-designer-of-the-year-award,GPT-5.1
BA Die Mold,http://www.badassmolds.com,https://www.moldmakingtechnology.com/news/b-a-die-mold-inc-celebrates-55-years-in-moldmaking,GPT-5.1
BA Die Mold,http://www.badassmolds.com,https://www.plasticstoday.com/injection-molding/b-a-die-mold-celebrates-50-years-building-badass-molds-for-intricate-plastic-parts,GPT-5.1
BA Die Mold,http://www.badassmolds.com,https://qmed.com/b-a-die-mold-inc-comp236206.html,GPT-5.1
Chicago Mold Engineering Co. Inc.,http://www.chicagomold.com,https://www.ptonline.com/articles/chicago-mold-engineering-in-the-spotlight,GPT-5.1
Chicago Mold Engineering Co. Inc.,http://www.chicagomold.com,https://www.ptonline.com/articles/chicago-mold-engineering-heading-into-the-future,GPT-5.1
Comet Die & Engraving Company,http://www.cometdie.com,https://www.ctemag.com/articles/moldmaker-still-family-owned-after-122-years,GPT-5.1
Craftsman Tool & Mold Company,http://www.craftsmanmold.com,https://www.moldmakingtechnology.com/articles/seeing-the-industry-with-a-new-perspective,GPT-5.1
Electroform Company,http://www.injectionmoldmaking.com,https://www.plasticstoday.com/business/electroform-adds-engel-e-max-to-its-stable,GPT-5.1
Electroform Company,http://www.injectionmoldmaking.com,https://www.moldmakingtechnology.com/articles/electroform-company-flying-high,GPT-5.1
Foreman Tool & Mold,http://www.foremantool.com,https://www.thomasnet.com/company/foreman-tool-mold-634455/profile,GPT-5.1
Foreman Tool & Mold,http://www.foremantool.com,https://www.moldmakingtechnology.com/articles/its-gut-check-time-for-tool-builders,GPT-5.1
"Helm Tool Company, Inc.",http://www.helmtool.com,https://www.moldmakingtechnology.com/articles/cross-training-in-house-capabilities-and-collaborative-design-move-helm-tool-forward,GPT-5.1
"Helm Tool Company, Inc.",http://www.helmtool.com,https://www.plasticsnewsdirectory.com/company/144740/helm-tool-company-inc,GPT-5.1
Industrial Molds,http://www.industrialmolds.com,https://www.moldmakingtechnology.com/news/industrial-molds-celebrates-50-years-in-business-in-2018,GPT-5.1
Industrial Molds,http://www.industrialmolds.com,https://www.plasticstoday.com/automation/industrial-molds-completes-automated-moldmaking-cell,GPT-5.1
"Matrix Plastic Products, LLC",http://www.matrixplastic.com,https://www.matrixplastic.com/about-us/matrix-in-the-news,GPT-5.1
