Company URL,Company Name,News URL,Source,Notes
http://www.hpmold.com,Harris Precision Mold,https://web.archive.org/web/20160304025827/https://www.moldmakingtechnology.com/articles/harris-precision-mold-a-focus-on-quality,Grok,Wayback Machine – original article 404
http://www.mrmold.com,M.R. Mold & Engineering,https://www.ptonline.com/news/mr-mold-engineering-completes-move-to-larger-location,Grok,Live link
http://www.mrmold.com,M.R. Mold & Engineering,https://www.plasticsnews.com/news/mr-mold-moving-larger-site-california,Grok,Live link
http://www.mrmold.com,M.R. Mold & Engineering,https://www.moldmakingtechnology.com/articles/2018-leadtime-leader-awards-honorable-mention-mr-mold-engineering-corp,Grok,Live link
http://www.mrmold.com,M.R. Mold & Engineering,https://www.plasticstoday.com/injection-molding/mr-mold-expands-lsr-capabilities-new-facility,Grok,Live link
http://www.mrmold.com,M.R. Mold & Engineering,https://www.plasticsnews.com/article/20160926/NEWS/160929947/m-r-mold-expands-with-new-building,Grok,Live link
http://www.prestigemold.com,Prestige Mold,https://www.moldmakingtechnology.com/articles/ten-years-of-change-in-mold-manufacturing,Grok,Live canonical URL (original slug dead)
http://www.southcoastmold.com,South Coast Mold,https://web.archive.org/web/20160304025827/https://www.moldmakingtechnology.com/articles/south-coast-mold-energy-efficiency-add-up-to-success,Grok,Wayback Machine – original article 404
http://www.southcoastmold.com,South Coast Mold,https://www.plasticsnews.com/article/20140728/NEWS/140729833/south-coast-mold-adds-capacity,Grok,Live link
https://www.ptaplastics.com/,PTA Plastics,https://www.prweb.com/releases/pta_plastics_celebrating_60th_anniversary/prweb12058607.htm,Grok,Live link – 60th anniversary (former name: Plastic Tooling Aids Laboratory Incorporated)
https://www.ptaplastics.com/,PTA Plastics,https://www.ptonline.com/articles/pta-plastics-adding-lsr-capabilities,Grok,Live link
https://www.ptaplastics.com/,PTA Plastics,https://www.plasticsnews.com/article/20141117/NEWS/141119943/pta-plastics-expands-in-connecticut,Grok,Live link
https://www.ptaplastics.com/,PTA Plastics,https://www.plasticsmachinerymanufacturing.com/injection-molding/article/21267963/pta-plastics-adds-cleanroom-capacity,Grok,Live link
http://www.westminstertool.com,Westminster Tool,https://web.archive.org/web/20181101000000/https://www.moldmakingtechnology.com/articles/westminster-tool-moldmaking-is-art-and-science,Grok,Wayback Machine – original article 404
http://www.westminstertool.com,Westminster Tool,https://www.ptonline.com/articles/westminster-tool-on-managing-risk-with-transparency,Grok,Live link
http://www.westminstertool.com,Westminster Tool,https://www.plasticsmachinerymanufacturing.com/injection-molding/article/21261234/westminster-tool-invests-in-growth,Grok,Live link
https://www.amdiemold.com/,Ameritech Die & Mold,https://www.moldmakingtechnology.com/articles/ameritech-die-and-mold-life-in-the-fast-lane,Grok,Live canonical URL
https://www.amdiemold.com/,Ameritech Die & Mold,https://www.plasticsnews.com/article/20141103/NEWS/141109970/ameritech-die-mold-adds-capacity,Grok,Live link
http://www.carsonmold.com,Carson Tool & Mold,https://www.moldmakingtechnology.com/articles/carson-tool-and-mold,Grok,Live canonical URL
http://www.atemold.com,American Tool & Engineering,https://web.archive.org/web/20120823014307/https://www.plasticsnews.com/article/20120820/NEWS/120829993/american-tool-engineering-expands,Grok,Wayback Machine – original dead
http://www.iowamold.com,Iowa Mold & Engineering,https://web.archive.org/web/20160303215921/https://www.moldmakingtechnology.com/articles/iowa-mold-engineering,Grok,Wayback Machine – original 404
http://www.msimoldbuilders.com,MSI Mold Builders,https://www.thegazette.com/small-businesses/big-molds-are-complex/,Grok,Live link
http://www.msimoldbuilders.com,MSI Mold Builders,https://www.kcrg.com/content/news/Made-in-Eastern-Iowa-MSI-Mold-Builders-and-big-competition-451075783.html,Grok,Live link
http://www.msimoldbuilders.com,MSI Mold Builders,https://www.thegazette.com/business/msi-mold-builders-finishing-12000-square-foot-expansion/,Grok,Live link
http://www.msimoldbuilders.com,MSI Mold Builders,https://www.thegazette.com/news/cedar-rapids-mold-company-donates-ear-savers-for-mask-wearers/,Grok,Live link
http://www.msimoldbuilders.com,MSI Mold Builders,https://www.plasticsnews.com/news/msi-mold-builders-leads-effort-make-donate-50000-ear-savers,Grok,Live link
http://www.msimoldbuilders.com,MSI Mold Builders,https://www.plasticsnews.com/article/20150330/NEWS/150339991/msi-mold-builders-expands-in-iowa-eyes-automotive-market,Grok,Live link
http://www.msimoldbuilders.com,MSI Mold Builders,https://www.plasticsnews.com/news/msi-invests-25m-south-carolina-mold-making-site,Grok,Live link
http://www.msimoldbuilders.com,MSI Mold Builders,https://www.moldmakingtechnology.com/articles/msi-mold-builders-moldmaking-measured-and-defined,Grok,Live link
http://www.msimoldbuilders.com,MSI Mold Builders,https://www.moldmakingtechnology.com/articles/2016-leadtime-leader-awards-honorable-mention-msi-mold-builders-optimizing-lead-times,Grok,Live link
http://www.msimoldbuilders.com,MSI Mold Builders,https://gsabusiness.com/msi-mold-builders-expanding-operations-in-greenville-county/,Grok,Live link
http://www.summitmold.com,Summit Mold,https://www.prnewswire.com/news-releases/fathom-expands-domestic-tooling--injection-molding-capabilities-acquires-summit-tooling--summit-plastics-301222223.html,Grok,Live link – acquisition by Fathom
http://www.summitmold.com,Summit Mold,https://web.archive.org/web/20171201000000/https://www.moldmakingtechnology.com/articles/summit-mold-better-not-bigger,Grok,Wayback Machine – original 404
http://www.summitmold.com,Summit Mold,https://www.moldmakingtechnology.com/news/summit-tooling-and-summit-plastics-acquired-by-fathom,Grok,Live link
